id,palabra,frecuencia,categoria,fecha,periodo,score_trending
724,abierta,1,Deportes,2025-09-14T14:01:39.517703,diario,0.0
725,canal,1,Deportes,2025-09-14T14:01:39.519530,diario,0.0
726,sostenibilidad,1,Economía,2025-09-14T14:01:39.614760,diario,0.0
727,preparación,1,Economía,2025-09-14T14:01:39.617212,diario,0.0
728,estándares,1,Economía,2025-09-14T14:01:39.620428,diario,0.0
729,advierten,1,Economía,2025-09-14T14:01:39.623899,diario,0.0
730,expertos,1,Economía,2025-09-14T14:01:39.627059,diario,0.0
731,empresas,1,Economía,2025-09-14T14:01:39.630078,diario,0.0
732,acelerar,1,Economía,2025-09-14T14:01:39.632382,diario,0.0
733,globales,1,Economía,2025-09-14T14:01:39.634797,diario,0.0
734,cumplir,1,Economía,2025-09-14T14:01:39.639310,diario,0.0
735,deben,1,Economía,2025-09-14T14:01:39.648106,diario,0.0
736,múltiple,1,Mundo,2025-09-14T14:01:39.881314,diario,0.0
737,muertos,1,Mundo,2025-09-14T14:01:39.883965,diario,0.0
738,yucatán,1,Mundo,2025-09-14T14:01:39.890594,diario,0.0
739,méxico,1,Mundo,2025-09-14T14:01:39.894952,diario,0.0
740,quince,1,Mundo,2025-09-14T14:01:39.897228,diario,0.0
741,choque,1,Mundo,2025-09-14T14:01:39.899582,diario,0.0
742,estado,1,Mundo,2025-09-14T14:01:39.903816,diario,0.0
743,menos,1,Mundo,2025-09-14T14:01:39.905961,diario,0.0
744,comercio,1,Mundo,2025-09-14T14:01:39.962977,diario,0.0
745,vaticano,1,Mundo,2025-09-14T14:01:39.965187,diario,0.0
746,recibe,1,Mundo,2025-09-14T14:01:39.967457,diario,0.0
747,papa,1,Mundo,2025-09-14T14:01:39.970342,diario,0.0
748,león,1,Mundo,2025-09-14T14:01:39.973426,diario,0.0
749,pordeportesjorge,1,Deportes,2025-09-14T14:01:40.029431,diario,0.0
750,contundente,1,Deportes,2025-09-14T14:01:40.031998,diario,0.0
751,perderse,1,Deportes,2025-09-14T14:01:40.035621,diario,0.0
752,partidos,1,Deportes,2025-09-14T14:01:40.038564,diario,0.0
753,fossati,1,Deportes,2025-09-14T14:01:40.040971,diario,0.0
754,valera,1,Deportes,2025-09-14T14:01:40.043154,diario,0.0
755,flores,1,Deportes,2025-09-14T14:01:40.044905,diario,0.0
756,están,1,Deportes,2025-09-14T14:01:40.047467,diario,0.0
757,perú,1,Deportes,2025-09-14T14:01:40.049555,diario,0.0
758,liverpool,1,Deportes,2025-09-14T14:01:40.115394,diario,0.0
759,campeón,1,Deportes,2025-09-14T14:01:40.117984,diario,0.0
760,premier,1,Deportes,2025-09-14T14:01:40.120249,diario,0.0
761,burnley,1,Deportes,2025-09-14T14:01:40.122323,diario,0.0
762,oliver,1,Deportes,2025-09-14T14:01:40.124229,diario,0.0
763,jugará,1,Deportes,2025-09-14T14:01:40.127376,diario,0.0
764,contra,1,Deportes,2025-09-14T14:01:40.129550,diario,0.0
